investigator_race,keywords_freq,punishment_severity,number_of_allegation
Black,0.1441927093364904,63.19086552015788,3547
Asian/Pacific Islander,0.1169998098838366,57.06060606060606,198
Hispanic,0.1495434745508882,73.27516411378556,1828
White,0.14094385399872383,53.17304606921843,4363
lost,0.15782929437310927,7.550872968091511,1661
all_race,0.14573632257549668,53.30987394957983,12376
