victim_race,keywords_freq,punishment_severity,number_of_allegation
Black,0.13072357088320105,57.53276295923503,9935
Asian/Pacific Islander,,,0
Hispanic,0.13428152759999723,3.2564935064935066,1232
White,0.13001826919520765,58.84980744544288,779
lost,0.14457496969899217,89.11395348837209,430
all_race,0.13151462406281775,53.30987394957983,12376
