27721,Black,1881
27724,White,62
27725,Black,96
27727,Black,2438
27728,Black,238
27729,Black,480
27730,Hispanic,98
27731,Black,280
27732,Black,218
27733,Black,85
27734,Hispanic,63
27740,Hispanic,99
27744,Black,132
27745,White,172
27747,Black,311
27748,Black,328
27749,Black,875
27751,Hispanic,4294
27754,Black,771
27756,Black,399
27757,Black,160
27758,Black,105
27759,Black,1190
27760,Black,610
27762,Black,420
27766,Black,201
27767,Black,221
27769,Black,67
27779,White,
27780,Black,
27781,Black,
27782,Black,
51348,White,164
51354,Hispanic,58
51358,Black,219
51363,Black,662
51364,Black,166
51365,Black,314
51366,Black,332
51371,Black,147
51372,Hispanic,457
51373,Black,176
51380,Black,199
51384,Black,321
51385,Black,144
51386,Black,123
51389,Black,217
51390,Black,
51391,Hispanic,336
51392,Black,60
51393,Black,196
51394,Hispanic,117
51395,Black,281
51396,Hispanic,224
51398,Black,364
51400,Black,311
51401,White,1120
51402,Black,70
51403,Black,243
51404,White,124
51406,Black,130
51407,White,148
51408,Black,694
51409,Black,191
51412,Hispanic,985
51413,Black,175
51414,Black,315
51416,Black,244
51417,Black,269
51418,Black,272
51419,Black,245
51420,Black,236
51420,White,236
51422,Black,1288
51423,Black,290
51425,Black,137
51427,Black,243
51429,Hispanic,
51429,White,
51430,Hispanic,906
51431,Black,207
51432,Black,175
51433,Black,246
51434,Black,181
51435,Black,96
51436,Black,214
51437,Black,172
51438,Black,239
51439,Black,201
51441,White,168
51442,White,119
51443,Black,206
51446,Black,610
51448,Black,153
51450,Hispanic,
51456,Black,273
51457,Black,181
51458,Black,220
51459,Black,146
51460,Black,1217
51465,Black,1057
51466,White,201
51468,White,649
51472,Hispanic,
51472,White,
51473,Black,476
51477,Black,20
51478,Black,1601
51481,Black,49
51482,Black,285
51483,White,130
51486,Black,328
51487,Black,144
51488,Black,285
51489,Black,188
51493,White,910
51494,Black,522
51495,Black,141
51496,Black,86
51498,White,355
51501,White,77
51502,Black,2441
51503,Hispanic,337
51504,Black,148
51505,Black,108
51509,Black,201
51510,Hispanic,78
51511,Black,262
51513,Black,87
51514,Black,105
51515,Asian/Pacific Islander,483
51516,Black,440
51518,Black,1060
51519,Hispanic,111
51520,Black,180
51522,Black,285
51523,Black,84
51527,Black,135
51529,Black,99
51530,Black,81
51533,Hispanic,832
51534,Black,107
51535,Black,84
51536,White,485
51538,Black,33
51539,Black,170
51541,Black,230
51545,White,631
51546,Black,89
51547,Black,784
51548,White,146
51551,Black,167
51552,Hispanic,36
51553,Black,399
51555,Hispanic,105
51556,Black,85
51559,White,103
51560,Hispanic,26
51561,Black,
51562,White,197
51567,Black,
51570,Hispanic,
51571,White,133
51572,Black,42
51573,Black,
51574,Black,
56652,Hispanic,83
56655,Black,237
56656,White,167
56657,Hispanic,1589
56658,Black,204
56659,Black,133
56660,Black,451
56661,Black,308
56664,Black,352
56666,Black,463
56667,Black,1470
56669,Hispanic,115
56672,Hispanic,247
56674,Black,507
56675,Black,211
56676,Black,1105
56678,Black,166
56682,Black,209
56683,Black,502
56690,White,118
56692,Black,112
56698,Black,153
56699,Black,155
56701,Black,98
56702,Black,347
56703,White,104
56706,Black,293
56710,Black,857
56713,Hispanic,172
56717,White,257
56719,Black,1326
56720,Black,312
56722,Black,450
56725,Black,138
56726,Hispanic,101
