race,allegation_id
Asian/Pacific Islander,75182
Asian/Pacific Islander,75182
Asian/Pacific Islander,75489
Asian/Pacific Islander,75519
Asian/Pacific Islander,75519
Asian/Pacific Islander,75642
Asian/Pacific Islander,75642
Asian/Pacific Islander,75723
Asian/Pacific Islander,75723
Asian/Pacific Islander,75771
Asian/Pacific Islander,75771
Asian/Pacific Islander,75843
Asian/Pacific Islander,75843
Asian/Pacific Islander,75892
Asian/Pacific Islander,76297
Asian/Pacific Islander,76416
Asian/Pacific Islander,76504
Asian/Pacific Islander,76651
Asian/Pacific Islander,76651
Asian/Pacific Islander,76672
Asian/Pacific Islander,76672
Asian/Pacific Islander,76712
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76716
Asian/Pacific Islander,76785
Asian/Pacific Islander,76785
Asian/Pacific Islander,76888
Asian/Pacific Islander,76888
Asian/Pacific Islander,76955
Asian/Pacific Islander,76955
Asian/Pacific Islander,76972
Asian/Pacific Islander,77050
Asian/Pacific Islander,77050
Asian/Pacific Islander,77258
Asian/Pacific Islander,77306
Asian/Pacific Islander,77306
Asian/Pacific Islander,77350
Asian/Pacific Islander,77573
Asian/Pacific Islander,77573
Asian/Pacific Islander,77591
Asian/Pacific Islander,77709
Asian/Pacific Islander,77709
Asian/Pacific Islander,77907
Asian/Pacific Islander,78050
Asian/Pacific Islander,78050
Asian/Pacific Islander,78299
Asian/Pacific Islander,78305
Asian/Pacific Islander,78327
Asian/Pacific Islander,78394
Asian/Pacific Islander,78430
Asian/Pacific Islander,78621
Asian/Pacific Islander,78621
Asian/Pacific Islander,78622
Asian/Pacific Islander,78849
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78853
Asian/Pacific Islander,78961
Asian/Pacific Islander,78969
Asian/Pacific Islander,78969
Asian/Pacific Islander,79218
Asian/Pacific Islander,79346
Asian/Pacific Islander,79383
Asian/Pacific Islander,79418
Asian/Pacific Islander,79418
Asian/Pacific Islander,79492
Asian/Pacific Islander,79552
Asian/Pacific Islander,79552
Asian/Pacific Islander,79552
Asian/Pacific Islander,79553
Asian/Pacific Islander,79553
Asian/Pacific Islander,79591
Asian/Pacific Islander,79591
Asian/Pacific Islander,79687
Asian/Pacific Islander,79754
Asian/Pacific Islander,79952
Asian/Pacific Islander,79980
Asian/Pacific Islander,80291
